mx	my	mz	ax	ay	az	gx	gy	gz	ms
-121	0429	0325	-009	-021	-264	-0027	00030	00011	411
-125	0428	0326	-013	-023	-258	-0067	00022	00010	412
-124	0429	0329	-008	-024	-254	00078	00002	-0001	413
-119	0434	0328	-005	-025	-260	00093	00002	00011	414
-125	0427	0329	0004	-027	-256	00010	00013	00003	415
-125	0431	0328	-005	-029	-247	-0083	00020	-0001	416
-122	0426	0326	-011	-030	-253	00010	00006	00004	417
-123	0432	0327	-007	-027	-255	00042	00005	00004	418
-114	0428	0329	-011	-028	-262	00009	00007	00007	419
-126	0426	0332	-010	-021	-256	-0034	00018	00010	420
-124	0434	0323	-006	-025	-252	-0020	00014	00008	421
-117	0435	0327	-006	-029	-256	-0012	00011	00009	422
-130	0431	0326	-007	-024	-260	00027	-0001	00004	423
-116	0428	0335	0000	-027	-259	00008	00009	00008	424
-121	0424	0324	-002	-028	-254	00005	00016	00002	425
-121	0424	0322	-009	-020	-246	-0030	00023	00012	426
-121	0430	0327	-001	-028	-264	00006	00011	00000	427
-122	0430	0338	-007	-028	-257	-0006	00011	00006	428
-124	0426	0325	-013	-023	-256	00030	00006	00009	429
-120	0424	0325	-012	-029	-249	-0005	00015	00001	430
-127	0428	0327	-013	-023	-258	-0018	00015	00010	431
-121	0423	0327	-001	-026	-253	-0012	00007	00000	432
-123	0434	0327	-004	-027	-254	00027	00023	00019	433
-122	0424	0330	-009	-018	-256	00010	00009	00008	434
-126	0435	0326	-004	-021	-256	-0007	00004	00005	435
-127	0436	0330	-002	-021	-256	00010	00007	00010	436
-124	0433	0326	-017	-028	-256	-0022	00015	00002	437
-124	0426	0322	-016	-031	-239	-0182	00091	00012	438
-123	0424	0327	0012	-036	-258	00438	-0032	00075	439
-095	0427	0313	-006	-022	-260	00288	-0012	-0027	440
-094	0422	0323	-035	-029	-223	-0018	00023	-0013	441
-091	0428	0315	-024	-020	-249	00028	00081	00031	442
-093	0412	0312	-020	-016	-258	-0049	00087	00040	443
-091	0413	0323	-031	-018	-263	-0044	-0015	00043	444
-086	0402	0326	-024	-018	-249	-0010	-0049	00007	445
-089	0407	0330	-020	-020	-254	00013	00058	00020	446
-101	0402	0320	-016	-022	-256	-0004	00011	00018	447
-098	0400	0323	-017	-009	-250	-0008	-0008	00015	448
-101	0409	0325	-019	-021	-254	-0010	00036	00022	449
-099	0397	0324	-027	-021	-254	-0005	00014	00018	450
-099	0400	0325	-026	-013	-248	-0011	00012	00018	451
-098	0405	0326	-015	-011	-247	00016	00011	00018	452
-098	0385	0326	-028	-017	-251	00007	00008	00008	453
-102	0397	0328	-024	-004	-248	-0001	-0003	00018	454
-105	0401	0328	-013	-013	-254	-0035	00028	00009	455
-106	0397	0335	-022	-014	-253	00029	00005	00018	456
-109	0392	0330	-016	-014	-246	-0008	00005	00004	457
-098	0394	0326	-017	-016	-257	00032	00036	00017	458
-097	0395	0331	-012	-012	-262	00016	00012	00009	459
-103	0392	0323	-018	-020	-242	00000	-0020	00008	460
-104	0389	0324	-024	-013	-250	00004	00009	00011	461
